Origin,Destination,OriginLat,OriginLon,DestLat,DestLon,TRIP_TYPE,Direction,Commute_SOV,Commute_Carpool,Commute_Transit,Commute_Walk,Commute_Bicycle,Commute_Taxi,Commute_WorkAtHome,Commute_Other,Commute_Total
2502513035242C,16,42.3567840538908,-71.0578276987758,42.3548557399861,-71.054829333957,Outside_to_Downtown,Outbound,27,4,74,6,1,0,0,0,112
2502513035242D,16,42.3567889449042,-71.0579932055929,42.3548557399861,-71.054829333957,Outside_to_Downtown,Outbound,27,4,74,6,1,0,0,0,112
2502513035242E,16,42.3566265001693,-71.0591624784674,42.3548557399861,-71.054829333957,Outside_to_Downtown,Outbound,27,4,74,6,1,0,0,0,112
2502513035244A,16,42.358756165118,-71.0615108902534,42.3548557399861,-71.054829333957,Outside_to_Downtown,Outbound,106,27,180,20,1,0,0,2,336
2502513035244A,16,42.358756165118,-71.0615108902534,42.3548557399861,-71.054829333957,Downtown_to_Outside,Inbound,1,0,3,8,0,0,0,0,12
2502513035244B,16,42.3591740240165,-71.0616317867317,42.3548557399861,-71.054829333957,Outside_to_Downtown,Outbound,106,27,180,20,1,0,0,2,336
2502513035244B,16,42.3591740240165,-71.0616317867317,42.3548557399861,-71.054829333957,Downtown_to_Outside,Inbound,1,0,3,8,0,0,0,0,12
2502513035244C,16,42.3601626854247,-71.0602156129861,42.3548557399861,-71.054829333957,Outside_to_Downtown,Outbound,106,27,180,20,1,0,0,2,336
2502513035244C,16,42.3601626854247,-71.0602156129861,42.3548557399861,-71.054829333957,Downtown_to_Outside,Inbound,1,0,3,8,0,0,0,0,12
2502513035244D,16,42.3608651463795,-71.061336470029,42.3548557399861,-71.054829333957,Outside_to_Downtown,Outbound,106,27,180,20,1,0,0,2,336
2502513035244D,16,42.3608651463795,-71.061336470029,42.3548557399861,-71.054829333957,Downtown_to_Outside,Inbound,1,0,3,8,0,0,0,0,12
2502513035244E,16,42.3592900836097,-71.059861672952,42.3548557399861,-71.054829333957,Outside_to_Downtown,Outbound,106,27,180,20,1,0,0,2,336
2502513035244E,16,42.3592900836097,-71.059861672952,42.3548557399861,-71.054829333957,Downtown_to_Outside,Inbound,1,0,3,8,0,0,0,0,12
2502513035246A,16,42.3582448387298,-71.0555975669133,42.3548557399861,-71.054829333957,Outside_to_Downtown,Outbound,89,13,166,19,3,1,0,1,292
2502513035246B,16,42.3589728876849,-71.0559614131377,42.3548557399861,-71.054829333957,Outside_to_Downtown,Outbound,89,13,166,19,3,1,0,1,292
