SHAPE_ID,MBTA_ROUTE,MBTA_VARIA,MBTA_ROU_1,CTPS_ROUTE,CTPS_ROU_1,DIRECTION,ROUTE_DESC,TRIP_HEADS,CTPS_ROU_2,SHAPE_LEN,SEQUENCE,LATITUDE,LONGITUDE
040007,"   04",1,"   04_1",4,4,0,Route 04_1 outbound,North Station,4100,3957.294852,54,42.3551752156305,-71.0519750948005
040007,"   04",1,"   04_1",4,4,0,Route 04_1 outbound,North Station,4100,3957.294852,55,42.3552163618739,-71.0520606604435
040007,"   04",1,"   04_1",4,4,0,Route 04_1 outbound,North Station,4100,3957.294852,56,42.3550657337136,-71.0522431972781
040007,"   04",1,"   04_1",4,4,0,Route 04_1 outbound,North Station,4100,3957.294852,57,42.3549294904263,-71.0524443181256
040007,"   04",1,"   04_1",4,4,0,Route 04_1 outbound,North Station,4100,3957.294852,58,42.3548217971993,-71.0526490038898
040007,"   04",1,"   04_1",4,4,0,Route 04_1 outbound,North Station,4100,3957.294852,59,42.3546632550492,-71.0529965506216
040007,"   04",1,"   04_1",4,4,0,Route 04_1 outbound,North Station,4100,3957.294852,60,42.3545437923997,-71.0532453096566
040007,"   04",1,"   04_1",4,4,0,Route 04_1 outbound,North Station,4100,3957.294852,61,42.3545018780436,-71.0533325881138
040007,"   04",1,"   04_1",4,4,0,Route 04_1 outbound,North Station,4100,3957.294852,62,42.3552337670813,-71.0540068230152
040007,"   04",1,"   04_1",4,4,0,Route 04_1 outbound,North Station,4100,3957.294852,63,42.3553528172285,-71.0541305970436
040007,"   04",1,"   04_1",4,4,0,Route 04_1 outbound,North Station,4100,3957.294852,64,42.3560705619377,-71.0548768366899
040007,"   04",1,"   04_1",4,4,0,Route 04_1 outbound,North Station,4100,3957.294852,65,42.3563445569245,-71.0551670692095
040007,"   04",1,"   04_1",4,4,0,Route 04_1 outbound,North Station,4100,3957.294852,66,42.3568763959899,-71.0557181416391
040007,"   04",1,"   04_1",4,4,0,Route 04_1 outbound,North Station,4100,3957.294852,67,42.356912563857,-71.0557590481072
040007,"   04",1,"   04_1",4,4,0,Route 04_1 outbound,North Station,4100,3957.294852,68,42.3570549793809,-71.0559192635733
040007,"   04",1,"   04_1",4,4,0,Route 04_1 outbound,North Station,4100,3957.294852,69,42.357407973447,-71.0562604550088
040007,"   04",1,"   04_1",4,4,0,Route 04_1 outbound,North Station,4100,3957.294852,70,42.3574866840554,-71.0563332517217
040007,"   04",1,"   04_1",4,4,0,Route 04_1 outbound,North Station,4100,3957.294852,71,42.3575958097757,-71.0564122809594
040007,"   04",1,"   04_1",4,4,0,Route 04_1 outbound,North Station,4100,3957.294852,72,42.3577334700669,-71.0564427317657
040007,"   04",1,"   04_1",4,4,0,Route 04_1 outbound,North Station,4100,3957.294852,73,42.358048413179,-71.0565383859351
040007,"   04",1,"   04_1",4,4,0,Route 04_1 outbound,North Station,4100,3957.294852,74,42.3584917515873,-71.0566810955612
040007,"   04",1,"   04_1",4,4,0,Route 04_1 outbound,North Station,4100,3957.294852,75,42.3585091001809,-71.05668669865
040007,"   04",1,"   04_1",4,4,0,Route 04_1 outbound,North Station,4100,3957.294852,76,42.3587701671677,-71.0567854505682
040007,"   04",1,"   04_1",4,4,0,Route 04_1 outbound,North Station,4100,3957.294852,77,42.3588753736374,-71.0568252452035
040007,"   04",1,"   04_1",4,4,0,Route 04_1 outbound,North Station,4100,3957.294852,78,42.3590428939974,-71.0568067068962
040007,"   04",1,"   04_1",4,4,0,Route 04_1 outbound,North Station,4100,3957.294852,79,42.3602297100834,-71.0571507525239
040007,"   04",1,"   04_1",4,4,0,Route 04_1 outbound,North Station,4100,3957.294852,80,42.3603124975158,-71.0571760912815
040007,"   04",1,"   04_1",4,4,0,Route 04_1 outbound,North Station,4100,3957.294852,81,42.3603653708511,-71.0571925072011
040007,"   04",1,"   04_1",4,4,0,Route 04_1 outbound,North Station,4100,3957.294852,82,42.3612384100878,-71.0574635757995
040007,"   04",1,"   04_1",4,4,0,Route 04_1 outbound,North Station,4100,3957.294852,83,42.3615226084335,-71.0576063692786
040007,"   04",1,"   04_1",4,4,0,Route 04_1 outbound,North Station,4100,3957.294852,84,42.3617834034055,-71.0577512347666
040007,"   04",1,"   04_1",4,4,0,Route 04_1 outbound,North Station,4100,3957.294852,85,42.3620073104978,-71.0579518197111
040007,"   04",1,"   04_1",4,4,0,Route 04_1 outbound,North Station,4100,3957.294852,86,42.3622207534404,-71.0581524791653
040007,"   04",1,"   04_1",4,4,0,Route 04_1 outbound,North Station,4100,3957.294852,87,42.3624870254889,-71.0583900699758
040007,"   04",1,"   04_1",4,4,0,Route 04_1 outbound,North Station,4100,3957.294852,88,42.3625910766371,-71.0585010290703
040007,"   04",1,"   04_1",4,4,0,Route 04_1 outbound,North Station,4100,3957.294852,89,42.3626893251624,-71.0586480788213
040007,"   04",1,"   04_1",4,4,0,Route 04_1 outbound,North Station,4100,3957.294852,90,42.3627877063984,-71.0588309485214
040007,"   04",1,"   04_1",4,4,0,Route 04_1 outbound,North Station,4100,3957.294852,91,42.3628650506883,-71.0590573683342
040007,"   04",1,"   04_1",4,4,0,Route 04_1 outbound,North Station,4100,3957.294852,92,42.3628774836585,-71.0590937601054
040007,"   04",1,"   04_1",4,4,0,Route 04_1 outbound,North Station,4100,3957.294852,93,42.3629802474576,-71.0593799576617
040007,"   04",1,"   04_1",4,4,0,Route 04_1 outbound,North Station,4100,3957.294852,94,42.3630733979984,-71.0597536021132
040007,"   04",1,"   04_1",4,4,0,Route 04_1 outbound,North Station,4100,3957.294852,95,42.3633165828532,-71.0607212164345
040007,"   04",1,"   04_1",4,4,0,Route 04_1 outbound,North Station,4100,3957.294852,96,42.3634695828502,-71.0613135844159
040007,"   04",1,"   04_1",4,4,0,Route 04_1 outbound,North Station,4100,3957.294852,97,42.3636056509897,-71.0619220909605
040007,"   04",1,"   04_1",4,4,0,Route 04_1 outbound,North Station,4100,3957.294852,98,42.3640002932526,-71.0633685577684
040007,"   04",1,"   04_1",4,4,0,Route 04_1 outbound,North Station,4100,3957.294852,99,42.3641126403842,-71.0633588448799
040007,"   04",1,"   04_1",4,4,0,Route 04_1 outbound,North Station,4100,3957.294852,100,42.3642223869692,-71.0633696299307
040007,"   04",1,"   04_1",4,4,0,Route 04_1 outbound,North Station,4100,3957.294852,101,42.364319659727,-71.0633025506615
040007,"   04",1,"   04_1",4,4,0,Route 04_1 outbound,North Station,4100,3957.294852,102,42.3643456406208,-71.0632789315167
040007,"   04",1,"   04_1",4,4,0,Route 04_1 outbound,North Station,4100,3957.294852,103,42.364383156251,-71.0632409124401
040007,"   04",1,"   04_1",4,4,0,Route 04_1 outbound,North Station,4100,3957.294852,104,42.364435763585,-71.0631704616374
040007,"   04",1,"   04_1",4,4,0,Route 04_1 outbound,North Station,4100,3957.294852,105,42.3645465505088,-71.0629405995552
040007,"   04",1,"   04_1",4,4,0,Route 04_1 outbound,North Station,4100,3957.294852,106,42.3648520533775,-71.0623770002256
040007,"   04",1,"   04_1",4,4,0,Route 04_1 outbound,North Station,4100,3957.294852,107,42.3649256098587,-71.0621681597012
040007,"   04",1,"   04_1",4,4,0,Route 04_1 outbound,North Station,4100,3957.294852,108,42.3651095147973,-71.0617762591013
040007,"   04",1,"   04_1",4,4,0,Route 04_1 outbound,North Station,4100,3957.294852,109,42.3652794161543,-71.0614532865312
040007,"   04",1,"   04_1",4,4,0,Route 04_1 outbound,North Station,4100,3957.294852,110,42.3652794161543,-71.0614532865312
040007,"   04",1,"   04_1",4,4,0,Route 04_1 outbound,North Station,4100,3957.294852,111,42.3654546284825,-71.0611202136191
040007,"   04",1,"   04_1",4,4,0,Route 04_1 outbound,North Station,4100,3957.294852,112,42.3657125210726,-71.0606340474823
040007,"   04",1,"   04_1",4,4,0,Route 04_1 outbound,North Station,4100,3957.294852,113,42.3659549856377,-71.0601531867449
040007,"   04",1,"   04_1",4,4,0,Route 04_1 outbound,North Station,4100,3957.294852,114,42.3662132309744,-71.0597926999842
040007,"   04",1,"   04_1",4,4,0,Route 04_1 outbound,North Station,4100,3957.294852,115,42.3663983186089,-71.0594371522665
040007,"   04",1,"   04_1",4,4,0,Route 04_1 outbound,North Station,4100,3957.294852,116,42.3664740067542,-71.0592881474946
040007,"   04",1,"   04_1",4,4,0,Route 04_1 outbound,North Station,4100,3957.294852,117,42.3667236844839,-71.0588254311851
040007,"   04",1,"   04_1",4,4,0,Route 04_1 outbound,North Station,4100,3957.294852,118,42.366880723894,-71.058527259773
040007,"   04",1,"   04_1",4,4,0,Route 04_1 outbound,North Station,4100,3957.294852,119,42.3672365304789,-71.058079659922
040007,"   04",1,"   04_1",4,4,0,Route 04_1 outbound,North Station,4100,3957.294852,120,42.3676515298215,-71.0575601015219
040007,"   04",1,"   04_1",4,4,0,Route 04_1 outbound,North Station,4100,3957.294852,121,42.3677536012124,-71.0573982321474
