STOP_ID,STOP_NAME,TOWN,TOWN_ID,ROUTE,SEQUENCE,LATITUDE,LONGITUDE
2852,Bunker Hill St @ Vine St,BOSTON,35,194,37,42.3767738815112,-71.0569671301731
2860,Vine St @ Moulton St,BOSTON,35,194,54,42.376855390784,-71.056348766808
77245,36 Hammond St,WALTHAM,308,556,6,42.3768603502572,-71.2467930768919
5734,Meridian St @ Lexington St,BOSTON,35,117,31,42.3770237849509,-71.0391559344459
2851,Bunker Hill St @ Ferrin St,BOSTON,35,194,36,42.3777022865508,-71.0588355226569
7797,Lexington St @ School St,WALTHAM,308,505,3,42.3777873515384,-71.2357015699406
6598,Common St @ School St,WALTHAM,308,505,2,42.3779327556716,-71.2368278800085
7859,School St @ Lexington St,WALTHAM,308,554,89,42.3779896231192,-71.235593267575
2861,121 Bunker Hill St opp Lexington St,BOSTON,35,194,55,42.3780162782826,-71.0597512646638
2824,Main St @ Dunstable St,BOSTON,35,92,6,42.3781222913292,-71.0677275435661
2838,Main St @ Walker St,BOSTON,35,92,21,42.3783088967938,-71.0679428775859
2850,Bunker Hill St @ Concord St,BOSTON,35,194,35,42.3783372734798,-71.0607335656763
8901,Bacon St @ School St,WALTHAM,308,556,76,42.3785236234195,-71.2424706076252
2862,Bunker Hill St @ Polk St,BOSTON,35,194,56,42.3786107226737,-71.0614463887116
5733,Meridian St @ Eutaw St,BOSTON,35,117,30,42.3787618816564,-71.0392119683342
77244,Hammond St @ Columbus Ave,WALTHAM,308,556,5,42.3787908924196,-71.2467166261715
2849,Bunker Hill St @ School St,BOSTON,35,194,34,42.3791032732982,-71.0629418526709
2863,Bunker Hill St @ Pearl St,BOSTON,35,194,57,42.3793841526937,-71.0635214127543
8383,Bacon St @ Pond St,WALTHAM,308,556,77,42.3797072050034,-71.24230612358
2848,Bunker Hill St @ Sullivan St,BOSTON,35,194,33,42.3799190795552,-71.0645901468356
2839,Main St @ Oak St,BOSTON,35,92,22,42.3800072630745,-71.0696847025931
2823,Main St @ Middlesex St,BOSTON,35,92,5,42.3801632187569,-71.0698412096571
2864,Bunker Hill St @ Sackville St,BOSTON,35,194,58,42.3802422362872,-71.0652283656985
7860,Lexington St @ Lexington Terr,WALTHAM,308,554,90,42.3803300232297,-71.2361299319549
5732,Meridian St @ White St,BOSTON,35,117,29,42.3803826021653,-71.0392471912308
77243,Hammond St  @ Lawrence St,WALTHAM,308,556,4,42.3804222797075,-71.2466288681929
17711,Belmont St  @ Lexington St,WATERTOWN,314,554,101,42.3806947004034,-71.1895381441802
7795,130 Lexington St @ Shopping Plaza,WALTHAM,308,554,15,42.3807429242157,-71.2362410452508
7711,Lexington St @ Belmont St,BELMONT,26,554,4,42.380922590891,-71.189261003281
2847,Bunker Hill St @ Clarken Ct,BOSTON,35,194,32,42.380942888125,-71.0666311626082
77110,Belmont St opp Duff St,WATERTOWN,314,554,5,42.3810579041947,-71.1929926981699
2865,Bunker Hill St @ N Mead St,BOSTON,35,194,59,42.3811103216763,-71.0669623682258
77051,Belmont St @ Duff St,WATERTOWN,314,554,100,42.3811187613318,-71.1932171405794
2822,Main St @ Baldwin St,BOSTON,35,92,4,42.381216380792,-71.0708763772725
7696,Beaver St @ Warren St,WALTHAM,308,554,8,42.3813057844937,-71.2032389196686
5731,Meridian St @ West Eagle St,BOSTON,35,117,28,42.3813675715109,-71.0392841370038
7718,Bacon St @ Athletic Field Rd,WALTHAM,308,556,78,42.3813817701779,-71.2421474381286
75791,Warren St @ Webster Rd,WALTHAM,308,554,98,42.3817153564216,-71.2012601875675
77242,Hammond St @ Plympton St,WALTHAM,308,556,3,42.3817461927966,-71.2465562905589
7713,Warren St @ Waverley St,WALTHAM,308,554,7,42.3817577280156,-71.2010182614516
2866,Bunker Hill St @ St Martin St,BOSTON,35,194,60,42.3818238381479,-71.0684144343734
2846,Bunker Hill St @ Auburn St,BOSTON,35,194,31,42.3819911186832,-71.0687511196833
7705,Warren St @ Brookline St,WALTHAM,308,554,99,42.3824225235179,-71.1987609471733
7712,Warren St @ Brookline St,WALTHAM,308,554,6,42.3824612401622,-71.1985097577919
2845,Bunker Hill St @ Baldwin St,BOSTON,35,194,30,42.3824850089708,-71.0697553143754
5730,Meridian St @ Condor St,BOSTON,35,117,27,42.3826462267246,-71.0393159000296
77241,184 Hammond St,WALTHAM,308,556,2,42.3827695097134,-71.2468192484452
78600,135 Beaver St.,WALTHAM,308,554,9,42.3831154751066,-71.2084587817616
32840,Main St @ Bunker Hill St,BOSTON,35,92,24,42.3832093902818,-71.0718244986057
2821,Main St @ Bunker Hill St,BOSTON,35,92,3,42.3832916170527,-71.0717969636998
2844,Bunker Hill St @ Main St,BOSTON,35,194,29,42.3833914971733,-71.0716068304949
7724,Tomlin St @ Summit St,WALTHAM,308,556,1,42.3836137339148,-71.2488874805299
7724,Tomlin St @ Summit St,WALTHAM,308,556,82,42.3836147339148,-71.2488874805299
2842,Cambridge St @ Maffa Way,BOSTON,35,194,64,42.3837483679344,-71.0748731549601
12821,Main St opp Schraffts Bldg,BOSTON,35,194,28,42.3837545293617,-71.0722898169757
7697,Beaver St @ Waverly Oak St,WALTHAM,308,554,10,42.3838027239405,-71.2098746132794
7710,Lexington St @ Burnham St,BELMONT,26,554,3,42.3839208666533,-71.1893962674788
2874,Sullivan Station - Upper Busway,BOSTON,35,194,65,42.38394090794,-71.0764986246623
2874,Sullivan Station - Upper Busway,BOSTON,35,92,27,42.38394190794,-71.0764986246623
28741,Sullivan Station - Lower Busway,BOSTON,35,194,27,42.3841181079083,-71.0762767622765
2841,529 Main St,BOSTON,35,194,63,42.3844045788375,-71.0727600959496
7721,Dale St opp Caughey St,WALTHAM,308,556,79,42.3845919233798,-71.2437301083744
7865,Beaver St @ Valley View Rd,WALTHAM,308,554,91,42.3846026820731,-71.231601496639
9518,Beaver St @ Linden St,WALTHAM,308,554,11,42.3849797160793,-71.2166231920252
7700,Beaver St @ Valley View Rd,WALTHAM,308,554,14,42.3849861801066,-71.2321058011675
7722,Dale St @ Claremont St,WALTHAM,308,556,80,42.3849948744544,-71.2452233029807
7699,Beaver St opp Field Rd,WALTHAM,308,554,12,42.3854042350176,-71.2233760018546
2717,Main St @ Dorrance St,BOSTON,35,194,66,42.3854980631271,-71.0759489263553
7698,Beaver St @ Forest St,WALTHAM,308,554,13,42.3856187034557,-71.2261018663357
7723,Tomlin St @ Dale St,WALTHAM,308,556,81,42.3856401219264,-71.2487296211555
7709,Lexington St @ Sycamore St,BELMONT,26,554,2,42.3858247382977,-71.1906058694565
2714,Broadway @ Mt Vernon St,SOMERVILLE,274,194,26,42.3861141367743,-71.0786130769065
4727,McClellan Highway @ Addison St,BOSTON,35,459,93,42.3861605495866,-71.0192512584742
4722,McClellan Highway opp Addison St,BOSTON,35,459,78,42.3861987996189,-71.019338847657
2713,Broadway @ Lincoln St,SOMERVILLE,274,194,25,42.3866820766414,-71.0805922187985
2718,Broadway @ Austin St,SOMERVILLE,274,194,67,42.3868433938162,-71.0807818995469
2712,Broadway @ Franklin St,SOMERVILLE,274,194,24,42.3871206003422,-71.0821486211347
2719,Broadway @ Indiana Ave,SOMERVILLE,274,194,68,42.3873661001313,-71.0825155891153
2099,Trapelo Rd @ Church St,BELMONT,26,554,1,42.387575121512,-71.1899610946277
2099,Trapelo Rd @ Church St,BELMONT,26,554,104,42.387576121512,-71.1899610946277
2711,Broadway @ Glen St,SOMERVILLE,274,194,23,42.3878442715529,-71.084280313253
2720,Broadway @ Michigan Ave,SOMERVILLE,274,194,69,42.3879669707178,-71.0842410742189
5729,Pearl St @ Williams St,CHELSEA,57,117,26,42.3879755832807,-71.0386718801368
2710,Broadway @ Cross St,SOMERVILLE,274,194,22,42.3886664932783,-71.086064850239
2721,Broadway @ Cross St,SOMERVILLE,274,194,70,42.3886779950215,-71.0858010941255
2722,Broadway @ Kensington Ave,SOMERVILLE,274,194,71,42.3893710756899,-71.0872962639062
2709,Broadway St @ MacArthur St,SOMERVILLE,274,194,21,42.3893791968454,-71.0876552683122
5728,Pearl St opp Essex St,CHELSEA,57,117,25,42.3895210544326,-71.0376368912437
2708,Broadway @ McGrath Hwy,SOMERVILLE,274,194,20,42.3897949150226,-71.088594405789
5653,Broadway opp Cross St,CHELSEA,57,117,24,42.3905152501946,-71.0381188132901
2707,Broadway @ Montgomery Ave,SOMERVILLE,274,194,19,42.3905409198255,-71.0902088476919
2723,Broadway @ Fellsway W,SOMERVILLE,274,194,72,42.3907113316688,-71.0901108044711
4728,McClellan Highway @ Boardman St,BOSTON,35,459,94,42.3915988611958,-71.0129682835627
2724,Broadway @ Grant St,SOMERVILLE,274,194,73,42.3916012844969,-71.0915801647962
4721,McClellan Highway @ Boardman St,BOSTON,35,459,77,42.391632394594,-71.013123256804
5606,Broadway @ Fourth St,CHELSEA,57,117,23,42.3917687487491,-71.0358901327455
2706,Broadway @ Marshall St,SOMERVILLE,274,194,18,42.3922073556111,-71.0927614218456
2725,Broadway @ Temple St,SOMERVILLE,274,194,74,42.3924786172574,-71.0929885117403
2705,Broadway opp Temple St,SOMERVILLE,274,194,17,42.3925980582545,-71.0934944826066
5605,Washington Ave @ Broadway,CHELSEA,57,117,22,42.3928281193096,-71.034076926289
2726,Broadway @ Langmaid Ave,SOMERVILLE,274,194,75,42.3930957529762,-71.0942012886767
4720,McClellan Highway opp Suffolk Downs,BOSTON,35,459,76,42.3936432598889,-71.0114949362149
46170,Broadway @ City Hall Ave,CHELSEA,57,117,21,42.3937576350115,-71.0323674356826
2704,Broadway @ Thurston St,SOMERVILLE,274,194,16,42.393839361103,-71.095872755321
2727,Broadway @ Fenwick St,SOMERVILLE,274,194,76,42.3939806771972,-71.0958880870561
5726,Broadway opp Gerrish Ave,CHELSEA,57,117,20,42.394552100041,-71.0309673689784
2703,Broadway opp Main St,SOMERVILLE,274,194,15,42.3947730445724,-71.0977319564415
2729,Broadway @ Main St,SOMERVILLE,274,194,77,42.3947820736804,-71.0974678673848
5725,Broadway @ Crescent Ave,CHELSEA,57,117,19,42.3953425284772,-71.0295631710312
2730,Broadway opp Adams St,SOMERVILLE,274,194,78,42.3956105164075,-71.0994492250145
2702,Broadway @ Bartlett St,SOMERVILLE,274,194,14,42.3958666730581,-71.1000390337143
4730,Burbank Hwy @ Suffolk Downs,REVERE,248,459,95,42.395962201612,-71.0094281449263
5724,Broadway @ Cary Ave,CHELSEA,57,117,18,42.3959924476304,-71.028418342343
2731,Broadway opp Glenwood Rd,SOMERVILLE,274,194,79,42.3962670043865,-71.1010242566423
2701,Broadway @ Norwood Ave,SOMERVILLE,274,194,13,42.3966662449037,-71.1022325815914
2732,Broadway opp Norwood Ave,SOMERVILLE,274,194,80,42.3967706022626,-71.1025633673702
5723,Broadway @ Parker St,CHELSEA,57,117,17,42.3968990459652,-71.0268348817637
4731,Opp 40 Burbank Hwy,REVERE,248,459,96,42.3972416090164,-71.0084000763656
2733,Broadway @ Medford St - Magoun Sq,SOMERVILLE,274,194,81,42.3972805696427,-71.1041383437677
4719,40 Burbank Hwy,REVERE,248,459,75,42.3974793208831,-71.0083938673982
2699,Broadway @ Hinckley St - Magoun Sq,SOMERVILLE,274,194,12,42.3975983014272,-71.1051486500901
5722,Broadway @ Eleanor St,CHELSEA,57,117,16,42.3977970223545,-71.0252375193825
2734,Broadway @ William St,SOMERVILLE,274,194,82,42.3978422357464,-71.1059402165204
2735,Broadway @ Alfred St,SOMERVILLE,274,194,83,42.3983744526132,-71.1075924508524
2698,Broadway @ Cedar St,SOMERVILLE,274,194,11,42.3984087870002,-71.1077069098528
5721,Broadway opp Green St,CHELSEA,57,117,15,42.3987344430537,-71.0235905283438
5720,Broadway @ Webster Ave,CHELSEA,57,117,14,42.3997267280511,-71.0222941668724
2697,Broadway @ Josephine St - Ball Sq,SOMERVILLE,274,194,10,42.3997860049559,-71.1118124194679
2736,Broadway @ Boston Ave - Ball Sq,SOMERVILLE,274,194,84,42.3999153072316,-71.1121904272537
2737,Broadway @ Pearson Rd,SOMERVILLE,274,194,85,42.4005437740284,-71.1140897338467
2696,Broadway @ Bay State Ave,SOMERVILLE,274,194,9,42.4006618165093,-71.1144503716808
2693,Broadway @ Billingham St,SOMERVILLE,274,194,6,42.4008001278059,-71.119088705123
2740,Broadway @ Walker St,SOMERVILLE,274,194,88,42.4008149132341,-71.1182866536944
2694,Broadway @ College Ave,SOMERVILLE,274,194,7,42.4008468303747,-71.1175611402923
5719,Broadway @ Stockton St,CHELSEA,57,117,13,42.4008635895814,-71.0210041225086
2739,Broadway @ Powder House Blvd,SOMERVILLE,274,194,87,42.4008679890707,-71.1172303309792
2695,Broadway opp Warner St - Powder House Sq,SOMERVILLE,274,194,8,42.4009908842444,-71.1165958159118
2738,Broadway @ Warner St - Powder House Sq,SOMERVILLE,274,194,86,42.4011311109986,-71.1164016344755
2741,Broadway @ Leonard St,SOMERVILLE,274,194,89,42.4011405416795,-71.1209178175143
2692,Broadway @ Simpson Ave,SOMERVILLE,274,194,5,42.4014037240595,-71.1220242686587
2742,Broadway @ Mason St,SOMERVILLE,274,194,90,42.4016019050808,-71.1228208675925
4732,281 Burbank Hwy,REVERE,248,459,97,42.4016387221343,-71.0048908820639
5718,Broadway @ Cabot St,CHELSEA,57,117,12,42.4020238469037,-71.0196729445464
2691,Broadway opp Packard Ave,SOMERVILLE,274,194,4,42.4022417751908,-71.1248436490523
4718,280 Burbank Hwy,REVERE,248,459,74,42.4023888303423,-71.0044877825617
2744,Broadway @ Westminster Ave,SOMERVILLE,274,194,92,42.402915737057,-71.1263757574195
2634,Broadway @ Curtis St,SOMERVILLE,274,194,93,42.4033382750281,-71.1273530965079
2635,Broadway @ Dickson St,SOMERVILLE,274,194,94,42.4039139166929,-71.1285404275624
2576,Broadway @ Weston Ave,SOMERVILLE,274,194,3,42.4040526495369,-71.1287357497052
